,produto,preco,preco_antigo,descricao_produto,parcelas_sem_juros,frete_gratis,diferenca,desconto_porcento,media_desconto,mediana
248,Kit 10 Cuecas Boxer Mash Cueca Box Algodão Masculina Atacado,150,169,"R$ 169
R$ 15099
11% OFF
Frete grátis
Kit 10 Cuecas Boxer Mash Cueca Box Algodão Masculina Atacado
por Usee Brasil",0,SIM,19,11.24,80.78,20.0
249,Alternador Fusca - Brasilia - Kombi 55 Ah - Modelo Bosch,541,569,"OFERTA DO DIA
R$ 569
R$ 54140
5% OFF
Frete grátis
Alternador Fusca - Brasilia - Kombi 55 Ah - Modelo Bosch",0,SIM,28,4.92,80.78,20.0
250,Cadeira Para Auto Mass 0 A 36 Kgs Fisher Price Bb329,639,758,"R$ 758
R$ 63990
15% OFF
10x R$ 6399 sem juros
Cadeira Para Auto Mass 0 A 36 Kgs Fisher Price Bb329
por Loja MMPLACE",10,NÃO,119,15.7,80.78,20.0
251,Kit 10 Jogos Lençol Casal Atacado P Revenda Com 4 Pçs Cada,386,438,"R$ 438
R$ 38631
12% OFF
Frete grátis
Kit 10 Jogos Lençol Casal Atacado P Revenda Com 4 Pçs Cada",0,SIM,52,11.87,80.78,20.0
252,Ducha Top Jet Multitemperaturas 5500w Lorenzetti 110v,97,109,"OFERTA DO DIA
R$ 109
R$ 9781
11% OFF
6x R$ 1630 sem juros
Frete grátis
Ducha Top Jet Multitemperaturas 5500w Lorenzetti 110v
por Casa e Garagem",6,SIM,12,11.01,80.78,20.0
253,Mini Processador Moedor Elétrico Alho Sem Fio Alimentos Usb,57,65,"R$ 65
R$ 5789
12% OFF
40% vendido
Restam02:12:31
Mini Processador Moedor Elétrico Alho Sem Fio Alimentos Usb",0,NÃO,8,12.31,80.78,20.0
254,Taiff Easy Secador Cabelos 1700w -127 Ou 220v,211,232,"OFERTA DO DIA
R$ 232
R$ 21194
8% OFF
Frete grátis
Taiff Easy Secador Cabelos 1700w -127 Ou 220v",0,SIM,21,9.05,80.78,20.0
255,Kit Boxe Muay Thai Naja Black Line - Luva + Bandagem + Bucal,175,199,"OFERTA DO DIA
R$ 199
R$ 17512
12% OFF
Frete grátis
Kit Boxe Muay Thai Naja Black Line - Luva + Bandagem + Bucal",0,SIM,24,12.06,80.78,20.0
256,Pistola Pintura Gravidade 600ml 3 Bicos 1.2 1.5 1.8 Titanium,49,63,"R$ 63
R$ 4990
20% OFF
Pistola Pintura Gravidade 600ml 3 Bicos 1.2 1.5 1.8 Titanium
por Ismafer Ferramentas",0,NÃO,14,22.22,80.78,20.0
257,Disco sólido interno Kunup K168-120GB 120GB preto,130,142,"OFERTA DO DIA
R$ 142
R$ 13064
8% OFF
Frete grátis
Disco sólido interno Kunup K168-120GB 120GB preto",0,SIM,12,8.45,80.78,20.0
258,Kit 3 Calça Jeans Masculina Infantil Meninos Com Regulador,143,159,"OFERTA DO DIA
R$ 159
R$ 14391
10% OFF
Frete grátis
Kit 3 Calça Jeans Masculina Infantil Meninos Com Regulador",0,SIM,16,10.06,80.78,20.0
260,Fone de ouvido in-ear JBL C50HI preto,59,69,"R$ 69
R$ 59
14% OFF
Frete grátis
Fone de ouvido in-ear JBL C50HI preto
por Mercado Livre",0,SIM,10,14.49,80.78,20.0
261,Kit 3 Camisetas Masculina Camisas Voker 100% Algodão Atacado,72,78,"OFERTA DO DIA
R$ 78
R$ 7258
8% OFF
Kit 3 Camisetas Masculina Camisas Voker 100% Algodão Atacado",0,NÃO,6,7.69,80.78,20.0
262,Alto-falante Mondial Connect Power Plus CM-550 com bluetooth 127V/220V,599,799,"R$ 799
R$ 599
25% OFF
10x R$ 5990 sem juros
Frete grátis
Alto-falante Mondial Connect Power Plus CM-550 com bluetooth 127V/220V
por Mercado Livre",10,SIM,200,25.03,80.78,20.0
263,Mascara De Solda Automática 4k Ton. 9-13 Msea901 Tork,138,179,"R$ 179
R$ 13850
23% OFF
6x R$ 2308 sem juros
Frete grátis
Mascara De Solda Automática 4k Ton. 9-13 Msea901 Tork
por Casa das Serras",6,SIM,41,22.91,80.78,20.0
264,Cozinha Suspensa Modular Autossustentável Escorredor Aço,251,267,"OFERTA DO DIA
R$ 267
R$ 25163
6% OFF
Frete grátis
Cozinha Suspensa Modular Autossustentável Escorredor Aço",0,SIM,16,5.99,80.78,20.0
265,Kit 4 Pneus 175/70r13 Kelly Edge Touring Goodyear 82t,1256,1396,"R$ 1.396
R$ 1.256
10% OFF
10x R$ 12564 sem juros
Kit 4 Pneus 175/70r13 Kelly Edge Touring Goodyear 82t
por Achei Pneus",10,NÃO,140,10.03,80.78,20.0
266,Cadeira Praia Varanda Alta Alumínio Cad0047 Botafogo,67,78,"OFERTA DO DIA
R$ 78
R$ 6790
13% OFF
6x R$ 1132 sem juros
Cadeira Praia Varanda Alta Alumínio Cad0047 Botafogo
por Casa das Serras",6,NÃO,11,14.1,80.78,20.0
267,Furadeira De Impacto Martelete Rompedor 960w Autoreverso,445,479,"OFERTA DO DIA
R$ 479
R$ 44547
7% OFF
10x R$ 4455 sem juros
Frete grátis
Furadeira De Impacto Martelete Rompedor 960w Autoreverso",10,SIM,34,7.1,80.78,20.0
268,3 Pendentes Diamante Lustre Luminária Aramado Luxo Pirâmide,83,94,"R$ 94
R$ 8315
12% OFF
6x R$ 1386 sem juros
Frete grátis
3 Pendentes Diamante Lustre Luminária Aramado Luxo Pirâmide",6,SIM,11,11.7,80.78,20.0
269,Kit 2 Refletor Led 100w Holofote Bivolt Prova Dágua Luz Frio,105,119,"OFERTA DO DIA
R$ 119
R$ 10514
12% OFF
Frete grátis
Kit 2 Refletor Led 100w Holofote Bivolt Prova Dágua Luz Frio",0,SIM,14,11.76,80.78,20.0
270,Serra Circular De Bancada Scm-8 Moldes De Madeira Ferrari,873,949,"OFERTA DO DIA
R$ 949
R$ 87390
8% OFF
10x R$ 8739 sem juros
Frete grátis
Serra Circular De Bancada Scm-8 Moldes De Madeira Ferrari",10,SIM,76,8.01,80.78,20.0
271,Kit De Hidratação Super Reconstrução Dyusar Profissional,135,159,"OFERTA DO DIA
R$ 159
R$ 13591
15% OFF
6x R$ 2265 sem juros
Frete grátis
Kit De Hidratação Super Reconstrução Dyusar Profissional",6,SIM,24,15.09,80.78,20.0
272,Alto-falante JBL Go 3 portátil com bluetooth grey,228,329,"R$ 329
R$ 228
30% OFF
Frete grátis
Alto-falante JBL Go 3 portátil com bluetooth grey
por Mercado Livre",0,SIM,101,30.7,80.78,20.0
273,Balde Mop 360° Giratório C/ Cesto P/ Limpeza Geral Esfregão,138,159,"R$ 159
R$ 138
13% OFF
Frete grátis
Balde Mop 360° Giratório C/ Cesto P/ Limpeza Geral Esfregão
por Ismafer Ferramentas",0,SIM,21,13.21,80.78,20.0
274,"Tapete Peludo Sala Quarto 2x2,50 Pelo Alto 200x2,50",165,187,"OFERTA DO DIA
R$ 187
R$ 16543
12% OFF
Frete grátis
Tapete Peludo Sala Quarto 2x2,50 Pelo Alto 200x2,50",0,SIM,22,11.76,80.78,20.0
275,Carrinho De Bebe Mosquiteiro Reversivel + Bolsa,562,624,"R$ 624
R$ 56241
10% OFF
10x R$ 5624 sem juros
Frete grátis
Carrinho De Bebe Mosquiteiro Reversivel + Bolsa",10,SIM,62,9.94,80.78,20.0
276,Kit 3 Calças Lisa Moletom Masculina Sport Academia Treino,137,156,"R$ 156
R$ 13772
12% OFF
Frete grátis
Kit 3 Calças Lisa Moletom Masculina Sport Academia Treino",0,SIM,19,12.18,80.78,20.0
277,Extensão Hub Régua Usb 3.0 - 7 Portas Pc Hd Externo Pendrive,51,53,"OFERTA DO DIA
R$ 53
R$ 5120
5% OFF
Extensão Hub Régua Usb 3.0 - 7 Portas Pc Hd Externo Pendrive",0,NÃO,2,3.77,80.78,20.0
278,Caixa Ovo De Páscoa 350g E 500g Kraft Ou Branco - 20 Und,67,74,"OFERTA DO DIA
R$ 74
R$ 6741
10% OFF
Caixa Ovo De Páscoa 350g E 500g Kraft Ou Branco - 20 Und",0,NÃO,7,9.46,80.78,20.0
279,Protetor Carenagem + Alforge Chapam + Milha Xre300 Xre 300,808,850,"OFERTA DO DIA
R$ 850
R$ 80844
5% OFF
10x R$ 8084 sem juros
Frete grátis
Protetor Carenagem + Alforge Chapam + Milha Xre300 Xre 300",10,SIM,42,4.94,80.78,20.0
280,Escorredor Inox 16 Pratos Porta Talher Inox Bandeja Coletora,135,154,"R$ 154
R$ 13552
12% OFF
Frete grátis
Escorredor Inox 16 Pratos Porta Talher Inox Bandeja Coletora",0,SIM,19,12.34,80.78,20.0
281,Pneu Bridgestone Dueler H/T 684 III Ecopia 245/70R16 111 T,773,859,"OFERTA DO DIA
R$ 859
R$ 77391
10% OFF
10x R$ 7739 sem juros
Pneu Bridgestone Dueler H/T 684 III Ecopia 245/70R16 111 T
por Achei Pneus",10,NÃO,86,10.01,80.78,20.0
282,Gaiola Para Hamster Sírio Anão Russo Gerbil Mansão De Luxo,199,214,"OFERTA DO DIA
R$ 214
R$ 19985
7% OFF
6x R$ 3331 sem juros
Frete grátis
Gaiola Para Hamster Sírio Anão Russo Gerbil Mansão De Luxo",6,SIM,15,7.01,80.78,20.0
283,Talkabout Rádio Comunicador Motorola T210 Alcance Até 32km,389,438,"OFERTA DO DIA
R$ 438
R$ 38982
11% OFF
Frete grátis
Talkabout Rádio Comunicador Motorola T210 Alcance Até 32km",0,SIM,49,11.19,80.78,20.0
284,15m Luz Fita Led Colorida 5050 Rgb Quarto Branco Quente 12v,128,165,"OFERTA DO DIA
R$ 165
R$ 12870
22% OFF
Frete grátis
15m Luz Fita Led Colorida 5050 Rgb Quarto Branco Quente 12v",0,SIM,37,22.42,80.78,20.0
285,Balança Digital Corporal Bioimpedancia Aplicativo Bluetooth,204,299,"R$ 299
R$ 20490
31% OFF
Frete grátis
Balança Digital Corporal Bioimpedancia Aplicativo Bluetooth
por Relax Medic",0,SIM,95,31.77,80.78,20.0
286,Kit 20 Lâmpadas Led Bulbo 9w Econômica Branca Fria E27,105,119,"R$ 119
R$ 10501
12% OFF
Frete grátis
Kit 20 Lâmpadas Led Bulbo 9w Econômica Branca Fria E27",0,SIM,14,11.76,80.78,20.0
287,Bota Coturno Militar Motociclista Ziper Lateral Crshoes 8018,92,99,"OFERTA DO DIA
R$ 99
R$ 9253
7% OFF
6x R$ 1542 sem juros
Frete grátis
Bota Coturno Militar Motociclista Ziper Lateral Crshoes 8018",6,SIM,7,7.07,80.78,20.0
288,Balança De Peso Corporal Recarregável Via Usb - Prata Hc411,74,88,"R$ 88
R$ 7480
15% OFF
6x R$ 1247 sem juros
40% vendido
Restam02:12:28
Balança De Peso Corporal Recarregável Via Usb - Prata Hc411",6,NÃO,14,15.91,80.78,20.0
289,Kit 10 T-shirts Blusas Feminina Roupas Atacado Revenda,148,165,"OFERTA DO DIA
R$ 165
R$ 14850
10% OFF
Frete grátis
Kit 10 T-shirts Blusas Feminina Roupas Atacado Revenda",0,SIM,17,10.3,80.78,20.0
291,Escada de alumínio multifuncional Botafogo Lar & Lazer ESC0292,478,549,"R$ 549
R$ 47806
12% OFF
10x R$ 4781 sem juros
Frete grátis
Escada de alumínio multifuncional Botafogo Lar & Lazer ESC0292
por Casa das Serras",10,SIM,71,12.93,80.78,20.0
292,Cuba Cozinha Gourmet Inox Com Acessórios Nawa 50x40 Cm,239,311,"R$ 311
R$ 23990
22% OFF
Frete grátis
Cuba Cozinha Gourmet Inox Com Acessórios Nawa 50x40 Cm
por Pingoo",0,SIM,72,23.15,80.78,20.0
293,Liquidificador portátil Mondial Turbo Power L-99 2.2 L vermelho com jarra de san 127V,119,139,"R$ 139
R$ 11990
14% OFF
Frete grátis
Liquidificador portátil Mondial Turbo Power L-99 2.2 L vermelho com jarra de san 127V
por Mercado Livre",0,SIM,20,14.39,80.78,20.0
294,Kit 2 Poltronas Decorativas Tilla Consultorio Recepção Sala,350,389,"OFERTA DO DIA
R$ 389
R$ 35081
10% OFF
10x R$ 3508 sem juros
5% OFF com Pix
Kit 2 Poltronas Decorativas Tilla Consultorio Recepção Sala",10,NÃO,39,10.03,80.78,20.0
295,Prancha Chapinha Profissional Pro Titânio 450f Original +nf*,144,159,"OFERTA DO DIA
R$ 159
R$ 14469
9% OFF
6x R$ 2412 sem juros
Frete grátis
Prancha Chapinha Profissional Pro Titânio 450f Original +nf*",6,SIM,15,9.43,80.78,20.0
296,Cortina Blackout Em Tecido 4 00x2 50 Corta Luz,143,152,"OFERTA DO DIA
R$ 152
R$ 14372
6% OFF
6x R$ 2395 sem juros
Frete grátis
Cortina Blackout Em Tecido 4 00x2 50 Corta Luz",6,SIM,9,5.92,80.78,20.0
297,Pistola Elétrica Para Pintura 400w Hvlp Pev400 Vonder,310,345,"R$ 345
R$ 31050
10% OFF
Frete grátis
Pistola Elétrica Para Pintura 400w Hvlp Pev400 Vonder",0,SIM,35,10.14,80.78,20.0
298,"Organizador De Plantas E Vasos, Ideal Para Sacada E Varanda",99,113,"OFERTA DO DIA
R$ 113
R$ 9951
12% OFF
6x R$ 1659 sem juros
Frete grátis
Organizador De Plantas E Vasos, Ideal Para Sacada E Varanda",6,SIM,14,12.39,80.78,20.0
299,Kit Trilho Eletrificado 2m Preto+ 6 Spots Led 10w Luz Quente,217,239,"R$ 239
R$ 21793
9% OFF
Frete grátis
Kit Trilho Eletrificado 2m Preto+ 6 Spots Led 10w Luz Quente",0,SIM,22,9.21,80.78,20.0
300,Progressiva Sem Formol Orgânica Soul Care Ganhe 2 Kit,114,134,"OFERTA DO DIA
R$ 134
R$ 11474
15% OFF
6x R$ 1912 sem juros
Frete grátis
Progressiva Sem Formol Orgânica Soul Care Ganhe 2 Kit",6,SIM,20,14.93,80.78,20.0
301,Night Spa 250ml + Uso Obrigatório Reconstrutor Capilar 260ml,171,199,"OFERTA DO DIA
R$ 199
R$ 17191
14% OFF
Frete grátis
Night Spa 250ml + Uso Obrigatório Reconstrutor Capilar 260ml",0,SIM,28,14.07,80.78,20.0
302,"Aspirador de pó industrial Wap GTW Inox 20 20L aço inoxidável, preto e amarelo 127V",425,478,"R$ 478
R$ 42542
11% OFF
Frete grátis
Aspirador de pó industrial Wap GTW Inox 20 20L aço inoxidável, preto e amarelo 127V
por O Pescador de Ofertas",0,SIM,53,11.09,80.78,20.0
303,Soprador Termico 1500w 110v Gamma G1935/br1,93,105,"R$ 105
R$ 9380
10% OFF
6x R$ 1563 sem juros
Frete grátis
Soprador Termico 1500w 110v Gamma G1935/br1
por DdMaquinas",6,SIM,12,11.43,80.78,20.0
304,Alto-falante JBL Clip 3 portátil com bluetooth ocean blue,219,399,"R$ 399
R$ 219
45% OFF
Frete grátis
Alto-falante JBL Clip 3 portátil com bluetooth ocean blue
por Mercado Livre",0,SIM,180,45.11,80.78,20.0
305,Copo Térmico Com Tampa 473ml Stanley Original Cerveja,213,237,"R$ 237
R$ 21399
10% OFF
Frete grátis
Copo Térmico Com Tampa 473ml Stanley Original Cerveja",0,SIM,24,10.13,80.78,20.0
306,Cerveja Belga Witbier Hoegaarden Long Neck 330ml,4,7,"R$ 7
R$ 499
37% OFF
Cerveja Belga Witbier Hoegaarden Long Neck 330ml
por Emporio da Cerveja",0,NÃO,3,42.86,80.78,20.0
307,Kit 3 Calça Jeans Masculina Slim Com Lycra Elastano Original,131,152,"R$ 152
R$ 13199
13% OFF
Frete grátis
Kit 3 Calça Jeans Masculina Slim Com Lycra Elastano Original",0,SIM,21,13.82,80.78,20.0
308,Kit 10 Cueca Boxer 100% Algodão Box Atacado Masculina Preta,97,114,"R$ 114
R$ 9799
14% OFF
Frete grátis
Kit 10 Cueca Boxer 100% Algodão Box Atacado Masculina Preta",0,SIM,17,14.91,80.78,20.0
309,Carga Gillette Mach3 Regular Leve 8 Pague 6,44,54,"R$ 54
R$ 4490
18% OFF
Carga Gillette Mach3 Regular Leve 8 Pague 6
por Web Mercadinho",0,NÃO,10,18.52,80.78,20.0
310,Kit 10 Cuecas Box Boxer,51,59,"R$ 59
R$ 5199
13% OFF
Kit 10 Cuecas Box Boxer",0,NÃO,8,13.56,80.78,20.0
311,Cozinha Infantil Menina Completa Pia Fogão Forno Sai Água,136,149,"OFERTA DO DIA
R$ 149
R$ 13640
9% OFF
Frete grátis
Cozinha Infantil Menina Completa Pia Fogão Forno Sai Água",0,SIM,13,8.72,80.78,20.0
312,"Mesa De Jantar Estilo Industrial Retangular 1,20mx0,90m",324,549,"OFERTA DO DIA
R$ 549
R$ 32444
41% OFF
10x R$ 3244 sem juros
5% OFF com Pix
Mesa De Jantar Estilo Industrial Retangular 1,20mx0,90m
por ELED",10,NÃO,225,40.98,80.78,20.0
313,Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,69,74,"R$ 74
R$ 6990
6% OFF
Pilha Alcalina Aa Pequena Duracell Com 16 Unidades
por Duracell",0,NÃO,5,6.76,80.78,20.0
314,Cílios Nagaraku Fio A Fio - Todos Os Modelos,31,36,"OFERTA DO DIA
R$ 36
R$ 3136
15% OFF
Cílios Nagaraku Fio A Fio - Todos Os Modelos",0,NÃO,5,13.89,80.78,20.0
315,Tênis Feminino Sapatênis Casual Moda Promoção !!! Envio 24hr,36,39,"OFERTA DO DIA
R$ 39
R$ 3639
9% OFF
6x R$ 607 sem juros
Tênis Feminino Sapatênis Casual Moda Promoção !!! Envio 24hr",6,NÃO,3,7.69,80.78,20.0
316,"Styletto Desodorante Colônia, 100ml",90,114,"OFERTA DO DIA
R$ 114
R$ 9090
20% OFF
6x R$ 1515 sem juros
Frete grátis
Styletto Desodorante Colônia, 100ml
por O Boticario",6,SIM,24,21.05,80.78,20.0
317,Energético Red Bull Lata 250ml,6,8,"R$ 8
R$ 649
23% OFF
Energético Red Bull Lata 250ml
por Web Mercadinho",0,NÃO,2,25.0,80.78,20.0
318,Conjunto De Panelas Antiaderente Vermelho 5 Peças Arnix,146,175,"R$ 175
R$ 14690
16% OFF
6x R$ 2448 sem juros
Frete grátis
Conjunto De Panelas Antiaderente Vermelho 5 Peças Arnix",6,SIM,29,16.57,80.78,20.0
319,Bota Botina De Segurança Para Trabalho Marluvas Couro Nobuck,127,149,"R$ 149
R$ 12730
15% OFF
Frete grátis
Bota Botina De Segurança Para Trabalho Marluvas Couro Nobuck",0,SIM,22,14.77,80.78,20.0
320,Cadeira Caixa Alta Portaria Recepção Cadeira Brasil,608,699,"OFERTA DO DIA
R$ 699
R$ 60891
13% OFF
10x R$ 6089 sem juros
Frete grátis
Cadeira Caixa Alta Portaria Recepção Cadeira Brasil",10,SIM,91,13.02,80.78,20.0
321,Kit 10 Cuecas Boxer Em Microfibra Adulto,55,59,"OFERTA DO DIA
R$ 59
R$ 5510
8% OFF
Kit 10 Cuecas Boxer Em Microfibra Adulto",0,NÃO,4,6.78,80.78,20.0
322,3pc Pzas Esguincho Mangueira De Alta Pressão De Pulverização,78,82,"OFERTA DO DIA
R$ 82
R$ 7803
5% OFF
6x R$ 1301 sem juros
Frete grátis
3pc Pzas Esguincho Mangueira De Alta Pressão De Pulverização",6,SIM,4,4.88,80.78,20.0
323,"Webcam Home Ofice ! Microfone ! Teans, Zoom, Meet, Hangouts!",77,117,"OFERTA DO DIA
R$ 117
R$ 7772
34% OFF
Webcam Home Ofice ! Microfone ! Teans, Zoom, Meet, Hangouts!",0,NÃO,40,34.19,80.78,20.0
324,Serra Esquadria Telescópica 2100w Profissional,1348,1990,"R$ 1.990
R$ 1.348
32% OFF
Frete grátis
Serra Esquadria Telescópica 2100w Profissional
por Ismafer Ferramentas",0,SIM,642,32.26,80.78,20.0
325,Home Theater Moscou P/tv Ate 65 C/suporte Universal Pr/fumê,594,649,"OFERTA DO DIA
R$ 649
R$ 594
8% OFF
10x R$ 5940 sem juros
5% OFF com Pix
Home Theater Moscou P/tv Ate 65 C/suporte Universal Pr/fumê
por Multimoveis",10,NÃO,55,8.47,80.78,20.0
326,Samsung Galaxy M22 Dual SIM 128 GB preto 4 GB RAM,1399,1799,"R$ 1.799
R$ 1.399
22% OFF
10x R$ 13990 sem juros
Frete grátis
Samsung Galaxy M22 Dual SIM 128 GB preto 4 GB RAM
por Mercado Livre",10,SIM,400,22.23,80.78,20.0
327,Câmera Ip Icsee Prova D'água Infravermelho Externa Wifi Hd 3,240,269,"R$ 269
R$ 24029
11% OFF
Frete grátis
Câmera Ip Icsee Prova D'água Infravermelho Externa Wifi Hd 3",0,SIM,29,10.78,80.78,20.0
328,Kit Gestante 2 Baby Dool 3 Calcinha Alta 2 Sutiã Amamentação,149,162,"OFERTA DO DIA
R$ 162
R$ 14925
8% OFF
6x R$ 2488 sem juros
Frete grátis
Kit Gestante 2 Baby Dool 3 Calcinha Alta 2 Sutiã Amamentação",6,SIM,13,8.02,80.78,20.0
329,Moto G10 Dual SIM 64 GB cinza-aurora 4 GB RAM,1299,1699,"R$ 1.699
R$ 1.299
23% OFF
10x R$ 12990 sem juros
Frete grátis
Moto G10 Dual SIM 64 GB cinza-aurora 4 GB RAM
por Mercado Livre",10,SIM,400,23.54,80.78,20.0
330,Kit De Pesca Completo 10kg C/ 2 Varas + 2 Molinetes + Itens,197,219,"R$ 219
R$ 19799
10% OFF
Frete grátis
Kit De Pesca Completo 10kg C/ 2 Varas + 2 Molinetes + Itens",0,SIM,22,10.05,80.78,20.0
331,Fralda Galinha Pintadinha Ultrasec Xxg 12 Unidades Babysec,11,17,"R$ 17
R$ 1199
32% OFF
11% vendido
Restam01:12:27
Fralda Galinha Pintadinha Ultrasec Xxg 12 Unidades Babysec
por Mercado Livre",0,NÃO,6,35.29,80.78,20.0
333,Kit 5 Bermudas De Sarja Masculina Lycra Cores Diversas,184,204,"OFERTA DO DIA
R$ 204
R$ 18441
10% OFF
Frete grátis
Kit 5 Bermudas De Sarja Masculina Lycra Cores Diversas",0,SIM,20,9.8,80.78,20.0
334,Smartphone Samsung Galaxy A12 64 Gb 4 Gb Ram 6.5 Azul,999,1099,"R$ 1.099
R$ 999
9% OFF
10x R$ 9990 sem juros
Frete grátis
Smartphone Samsung Galaxy A12 64 Gb 4 Gb Ram 6.5 Azul
por Mobcom",10,SIM,100,9.1,80.78,20.0
337,Refletor Led 200w Holofote Bivolt Prova Dágua Luz Frio Ip67,138,145,"OFERTA DO DIA
R$ 145
R$ 13869
5% OFF
6x R$ 2312 sem juros
Frete grátis
Refletor Led 200w Holofote Bivolt Prova Dágua Luz Frio Ip67",6,SIM,7,4.83,80.78,20.0
338,Truss Infusion Shampoo + Condicionador 300ml,107,125,"OFERTA DO DIA
R$ 125
R$ 10750
14% OFF
Frete grátis
Truss Infusion Shampoo + Condicionador 300ml",0,SIM,18,14.4,80.78,20.0
339,Kit 04 Poltronas Decorativas - Cadeira Escritório Recepção,521,579,"OFERTA DO DIA
R$ 579
R$ 52191
10% OFF
10x R$ 5219 sem juros
5% OFF com Pix
Kit 04 Poltronas Decorativas - Cadeira Escritório Recepção",10,NÃO,58,10.02,80.78,20.0
340,Arranhador P/gato Sofá Parede Juta 60cm - Par (2un) Mdf 6mm,134,141,"OFERTA DO DIA
R$ 141
R$ 13480
5% OFF
6x R$ 2247 sem juros
Frete grátis
Arranhador P/gato Sofá Parede Juta 60cm - Par (2un) Mdf 6mm",6,SIM,7,4.96,80.78,20.0
341,Roupa De Bebe Body Menina Ou Menino Kit 12 Peças Atacado,133,156,"OFERTA DO DIA
R$ 156
R$ 13336
15% OFF
Frete grátis
Roupa De Bebe Body Menina Ou Menino Kit 12 Peças Atacado",0,SIM,23,14.74,80.78,20.0
342,Carabina Pressão Dione 4g 5.5mm Gás Ram+10chu+band+capa+4x20,996,1119,"R$ 1.119
R$ 99671
11% OFF
10x R$ 9967 sem juros
Frete grátis
Carabina Pressão Dione 4g 5.5mm Gás Ram+10chu+band+capa+4x20
por Tubarao Center",10,SIM,123,10.99,80.78,20.0
343,Máscara Descartável Tripla C/ Anvisa Elástico E Clipe 100 Un,57,67,"R$ 67
R$ 5763
15% OFF
60% vendido
Restam02:12:23
Máscara Descartável Tripla C/ Anvisa Elástico E Clipe 100 Un",0,NÃO,10,14.93,80.78,20.0
344,Kit 3 Calça Jeans Cargo Camuflada Masculina Jogger 15 Modelo,163,185,"OFERTA DO DIA
R$ 185
R$ 16366
12% OFF
Frete grátis
Kit 3 Calça Jeans Cargo Camuflada Masculina Jogger 15 Modelo",0,SIM,22,11.89,80.78,20.0
345,Relógio Champion Feminino Dourado Prova D´água Original,218,259,"R$ 259
R$ 218
16% OFF
7x R$ 3114 sem juros
Frete grátis
Relógio Champion Feminino Dourado Prova D´água Original
por RBM WEBSHOP",7,SIM,41,15.83,80.78,20.0
346,"Kit 4 Banquetas Alta, Bistro Direto De Fabrica, Promoção",305,339,"R$ 339
R$ 30555
10% OFF
5% OFF com Pix
Frete grátis
Kit 4 Banquetas Alta, Bistro Direto De Fabrica, Promoção",0,SIM,34,10.03,80.78,20.0
347,Martelete Perfurador Rompedor 800w Sds Dewalt D25133k Broca,835,999,"R$ 999
R$ 835
16% OFF
10x R$ 8350 sem juros
Frete grátis
Martelete Perfurador Rompedor 800w Sds Dewalt D25133k Broca
por DdMaquinas",10,SIM,164,16.42,80.78,20.0
348,Ombrelone 240 Solasol Redondo,333,370,"R$ 370
R$ 333
10% OFF
10x R$ 3330 sem juros
Frete grátis
Ombrelone 240 Solasol Redondo",10,SIM,37,10.0,80.78,20.0
349,Kit 50 Máscaras Kn95 Proteção 5 Camada Respiratória Pff2 N95,47,55,"R$ 55
R$ 4759
15% OFF
Kit 50 Máscaras Kn95 Proteção 5 Camada Respiratória Pff2 N95",0,NÃO,8,14.55,80.78,20.0
350,Cuba Pia Cozinha Gourmet Aço Inox 50x40 Tubrax C/ Acessórios,215,289,"R$ 289
R$ 21590
25% OFF
Cuba Pia Cozinha Gourmet Aço Inox 50x40 Tubrax C/ Acessórios
por Tubrax",0,NÃO,74,25.61,80.78,20.0
351,Máquina Inversora Solda 160a 220v + Máscara Com Regulagem,516,555,"OFERTA DO DIA
R$ 555
R$ 51633
7% OFF
Frete grátis
Máquina Inversora Solda 160a 220v + Máscara Com Regulagem",0,SIM,39,7.03,80.78,20.0
352,Kit 10 Cuecas Box Boxer Zorba Seamless Algodão Sem Costura,165,179,"OFERTA DO DIA
R$ 179
R$ 16550
8% OFF
Frete grátis
Kit 10 Cuecas Box Boxer Zorba Seamless Algodão Sem Costura",0,SIM,14,7.82,80.78,20.0
353,Radio Comunicador Walk Talk Baofeng Bf 777s Pronta Entrega,214,225,"R$ 225
R$ 21459
5% OFF
Frete grátis
60% vendido
Restam02:12:22
Radio Comunicador Walk Talk Baofeng Bf 777s Pronta Entrega",0,SIM,11,4.89,80.78,20.0
354,Kit Completo Barras De Led 43pfg5000 43pfg5100 Le43d1452,161,179,"OFERTA DO DIA
R$ 179
R$ 16110
10% OFF
Frete grátis
Kit Completo Barras De Led 43pfg5000 43pfg5100 Le43d1452",0,SIM,18,10.06,80.78,20.0
355,Bolsa Feminina Pequena Ombro Promoção Lançamento Namorados,30,35,"R$ 35
R$ 3087
14% OFF
6x R$ 515 sem juros
40% vendido
Restam02:12:22
Bolsa Feminina Pequena Ombro Promoção Lançamento Namorados",6,NÃO,5,14.29,80.78,20.0
356,"Manta Para Sofá Gigante Decorativa Protetora 2,40x1,80",42,49,"R$ 49
R$ 42
15% OFF
Manta Para Sofá Gigante Decorativa Protetora 2,40x1,80",0,NÃO,7,14.29,80.78,20.0
357,Kit Design Sobrancelha 3 Henna Glance Mixer Pincel Macrilan,165,189,"OFERTA DO DIA
R$ 189
R$ 16521
13% OFF
Frete grátis
Kit Design Sobrancelha 3 Henna Glance Mixer Pincel Macrilan",0,SIM,24,12.7,80.78,20.0
